"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5818","testHomePageChangeLanguageToEn()","","Fri Feb 06 12:54:48 UTC 2026","passed","Fri Feb 06 12:54:54 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","4709","testFilterGoodOldGames()","","Fri Feb 06 12:55:16 UTC 2026","passed","Fri Feb 06 12:55:21 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","22705","testChangeLanguage()","","Fri Feb 06 12:55:39 UTC 2026","broken","Fri Feb 06 12:56:02 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"","2271","testHomePageIsDisplayed()","","Fri Feb 06 12:54:45 UTC 2026","passed","Fri Feb 06 12:54:48 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","4493","goToJobOfferAndSearchForAJob()","","Fri Feb 06 12:56:24 UTC 2026","broken","Fri Feb 06 12:56:29 UTC 2026","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"Verify that the user can scroll to the likeable tags","22812","testScrollToLikableTags()","","Fri Feb 06 12:53:35 UTC 2026","broken","Fri Feb 06 12:53:58 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"Verify that the user can change the epoch filter to 2010 inside strategy games","22515","testFilterBy2010Epoch()","","Fri Feb 06 12:52:27 UTC 2026","broken","Fri Feb 06 12:52:50 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"","22563","testGoToAssistancePage()","","Fri Feb 06 12:56:02 UTC 2026","broken","Fri Feb 06 12:56:24 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"","2311","testSliderLeft()","","Fri Feb 06 12:54:43 UTC 2026","passed","Fri Feb 06 12:54:45 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","4690","testResetFilters()","","Fri Feb 06 12:55:21 UTC 2026","failed","Fri Feb 06 12:55:26 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","4299","testSearchCyberpunk()","","Fri Feb 06 12:55:26 UTC 2026","passed","Fri Feb 06 12:55:30 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","4657","testFirstResultContainsWitcher()","","Fri Feb 06 12:55:30 UTC 2026","broken","Fri Feb 06 12:55:35 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","22823","testClickFirstGameInSwiper()","","Fri Feb 06 12:54:54 UTC 2026","broken","Fri Feb 06 12:55:16 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","35185","testOpenWorldGamesDisplay()","","Fri Feb 06 12:51:52 UTC 2026","broken","Fri Feb 06 12:52:27 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22267","testFilterBy90Epoch()","","Fri Feb 06 12:54:21 UTC 2026","broken","Fri Feb 06 12:54:43 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"Verify that the user can go to the strategy page","22614","testGoToStrategy()","","Fri Feb 06 12:53:12 UTC 2026","broken","Fri Feb 06 12:53:35 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","4366","testSearchBindingOf()","","Fri Feb 06 12:55:35 UTC 2026","passed","Fri Feb 06 12:55:39 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","22627","testScrollToDisplayGames()","","Fri Feb 06 12:52:50 UTC 2026","broken","Fri Feb 06 12:53:12 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22946","testGoToOpenWorld()","","Fri Feb 06 12:53:58 UTC 2026","broken","Fri Feb 06 12:54:21 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
